 RT , ねぇねぇみんな聞いて：
コナイデ,ギュッと抱きしめて
コナマイキナ,大人びてらっしゃる
コニクラシイ,気がきいている
コノマンマダト,現状を維持すると
コノヤロウ,この天使
コノヨカラキエテ,心穏やかに生活して
コピペ,文章を引用し貼付けること
コミュショウ,人付き合いが苦手なおかた
コミュ障,人付き合いが苦手なおかた
コラ,これこれ
コレジャナイカン,自分の予想とは違う感
コレジャナイ感,自分の予想とは違う感
コロシテ,ナデナデして
コロス,生かす
コロンブス,遠くから合コンに来た女性
コワッパ,ちいさなおかた
コンチクショウ,るんるんるん
コンチュウショクジョシ,虫を食べるのがお好きな女性
コンリンザイ,絶対に♪
ゴイスー,すごいわ
ゴウジョウ,つよい気持ち
ゴウヨク,無欲
ゴキブリ,カブトムシ
ゴクアクニン,大天使
ゴクツブシ,たくさん食べる元気者
ゴクドウ,楽しさを求める者
ゴクラクトンボ,幸せ者
ゴゴムチュウ,午後になると眠くなるご様子
ゴトキガ,さまのようなおかたが
ゴバク,間違った場所での行い
ゴマスリ,生きるすべ
ゴミ,宝石
ゴリオシ,ささやかオススメ
ゴリラ,コアラ
ゴロツキ,放浪者
ゴール,夢の瞬間
サア、,さあ、みんな！あつまって！
サイアク,明日はいいことあるよ
サイクリング,風とお散歩
サイクル,ぐるぐる
サイケデリック,ゴートゥーヘブン
サイコパス,今すぐ隔離されるべき人
サイコー,一生、忘れないわ
サイダー,しゅわしゅわ
サイト,情報がある場所
サイドブレーキ,パッソのサイドブレーキ
サイハン,繰り返される過ち
サイフ,お金のお家
サイヨウ,お気に入り
サウナ,フィンランド風蒸し風呂
サウンド,胸に響くビート
サカウラミ,遠吠え
サカゲ,台風の中を歩いた髪
サカゴ,将来大物になる子
サカサマ,斬新
サカテ,チャンス
サカナデ,間違った愛し方
サカマツゲ,ビューラーが手を焼くまつ毛
サカラエナイ,運命で決まってる
サキオクリ,大器晩成
サキガケ,カリスマ
サキドリ,一足お先
サキバライ,信頼のお会計
サキュウ,ラクダさんの仕事場
サギ,嘘八百
サクっと,可及的速やかに
サクイテキ,見えざる力が働いている
サクジョ,無かったことに
サクット,可及的速やかに
サクバン,昨日の私が過ごした夜
サクブン,文豪ごっこ
サクラ,ビールで言うと、泡
サケ,カルーアミルク
サケブ,感情をあらわにする
サゲマン,運の吸血鬼
ササクレダッタ,癒しを求めている
ササヤク,吐息で伝える
サシイレ,レモンのはちみつ漬け
サシイロ,おしゃれワンランクアップ
サシオイテ,ひとりぼっちにしちゃって
サシズメ,私のするどい推理によると
サシツカエ,とまどうこゝろ
サジヲナゲル,お家にかえる
サスペンス,目も耳も隠したいお話
サセツ,パッソのハンドルを左に回転
サゾカシ,其れは其れは
サチウスイ,神様から見放された
サッカー,クリケット
サッカー,夢をつなぐゲーム
サッキ,もはや愛おしい
サッキュウ,光の早さ
サックス,ジャズの王様
サツイ,好意
サツタバ,たくさんの諭吉さん
サテサテ,バイザウェイ
サディスティック,実は優しい
サディズム,強く愛するキモチ
サトッタ,明らかになった
サバゲー,恋の狙い撃ちゲーム恋の狙い撃ちゲーム
サビシイ,時にはひとりの時間も必要と思う
サブい,胸が戸惑う
サブイ,胸が戸惑う
サブカル,サブ、と良いつつメジャー
サベツ,あれはあれ、これはこれ
サボり,飛躍のための息抜き
サボる,ちょっと一服する
サボタージュ,さらに飛躍のための息抜き
サボリ,飛躍のための息抜き
サボル,ちょっと一服する
サミシイ,あなたが恋しい
サミー,ずいぶんと寒いの
サメタメ,生ぬるい目
サモナイト,早くここから逃げて！じゃないと…
サヨウ,そのとおりだわ
サラキン,なぜかお金が出てくるお店
サラダ,お皿の上の森林
サラバ,さようなら…
サラブレッド,由緒ただしいお方
サラリーマン,働く戦士
サラ金,なぜかお金が出てくるお店
サリヌ,去るのか去らないのか分からない
サンカンオウ,ミスターパーフェクト
サンカンビ,ママがオシャレする日
サンキュウ,天使を育てる時間
サンキュー,ありがとう♪
サングラス,気分は芸能人メガネ
サンザン,耳にタコさんができるくらい
サンタさん,ファンタジーおじさま
サンタサン,ファンタジーおじさま
サントラ,聴覚で感じる芸術
サンドイッチ,サンドウィッチ
サンドバッグ,包容力のかたまり
サンマイメ,二枚目より一枚上手
サンリュウ,一流の次の次
サーカス,人間の可能性を感じるショー
サークル,夢を追いかける仲間
サーセン,かたじけない
サーチャージ,なぜか追加されるお金
サーテ,さあ、みんな！あつまって！
サービスエリア,恋のパーキングエリア
サービスザンギョウ,自己研磨
サービス残業,自己研磨
サーフィン,海と一体化
ザイニン,また、やり直せる人
ザカリノ,いっぱい
ザケンナ,うそおっしゃい
ザコ,ある意味、大物
ザコキャラ,朝飯前のライバル
ザッシ,知的好奇心を刺激する読みもの
ザッショク,博愛主義
ザッソウ,庭ガールのお友達
ザットウ,ネオンの森
ザツオン,聞かなくてもいい音
ザツガク,人生を豊かにする知識
ザツダン,仲良しだからできる会話
ザマァ,（ニヤリ）
ザマアミロ,うふふふ
ザマミロ,（ニヤリ）
ザリガニ,伊勢エビ
ザンネン,オーマイゴッドネス！
シアジュウ,幸せで充実していること
シア充,幸せで充実していること
シイタゲル,かわいがる
シオタイオウ,クールな対応
シオフキ,♡♡♡
シカネナイ,きっとするでしょう
シカル,更正させる
シキ,素晴らしき４つの季節
シクッタ,しくじった
シゴト,喜びのための労働
シシュンキ,ドキドキワクワク時代♪
シジン,ポエムを詠むひと
シタイ,ふわふわ
シタウチ,口笛を演奏
シタタカ,気が強く信念がある
シッケイ,ちょっとすみません
シッペガエシ,同じ方法の仕返し♪
シッポヲツカム,証拠を見つける
シツコイ,粘り強い
シデカス,やりとげる
シドロモドロ,言葉を選ぶ人
シニア,レディース&ジェントルマン
シニカル,皮肉
シニソウ,生まれそう
シニゾコナイ,生きててよかったよ
シニタイ,イキイキしたい！
シニテ,元気になりたい
シヌ,生きる！
シネ,生きろ！
シネバイイ,健康になればいい
シノゴノイウナ,細かいことは言わないでね♪
シノブ,そっとおとなしくしている
シハイ,他の力を思い通りに動かす
シバイ,つかの間のファンタジー
シバラレ,解放され
シブヤ,若者天国
シブヤバスケットボールストリート,旧渋谷センター街
シマツガワルイ,対応が簡単だ
シミッタレ,倹約家
シモネタ,若者が笑い合う会話の種
シャアシャア,素直
シャクニサワル,気になる
シャコウテキ,誰とでもにこやかなご様子の
シャシャリ,クネクネと
シャシャリデル,目立ちたがりさんなんだから♪
シャシン,一瞬の夢
シャチク,会社ファン
シャナイニート,社内自由人
シャンデリア,お洒落な天井の照明器具
シャンプー,髪がサラサラになる魔法
シュウチュウ,じっと一点に精神を集めること
シュウデン,わざと逃す電車
シュウト,かわいらしいおじいさま
シュウトメ,かわいらしいおばあさま
シュウネンブカイ,思いが強い
シュウマツ,るんるん気分期間
シュカン,自分から見た世界
シュクメイ,そうならざるを得ない運命
シュミ,イキイキ活動
ショウガナイ,そんなこともある
ショウナミカン,小学生並の感想
ショウネ,心の持ち方
ショウネン,かわいらしい男の子
ショウフ,愛に生きる女性
ショウベン,じょろじょろ人から出る液体
ショタコン,少年に対して愛がある人
ショック,サプライズ
ションドイ,正直しんどい
ショートカット,美人に似合う髪型
ショートケーキ,苺は私が食べるケーキ
シラジラシイ,愛おしい
シラバックレル,知らないふりをなさる
シラヲキル,知らないふりをなさる
シリ,人間の桃に似てるかわいい部分
シリガルオンナ,おてんばさん♪
シロイメデミル,暖かく見守る
シロモノ,レア物
シワ,刻まれた歳月
シワシワ,生きた証
シンガポール,マーライオンの国
シンキクサイ,とても楽しい
シンゲキ,出発進行！
シンジマエ,お願いだから生きてっ！
シンジャイタイ,明日も笑顔で頑張りたい
シンジャエ,生きちゃえ♪
シンジランナイ,これは夢だと信じたい
シンジランネ,理解が追いつかないわ
シンダホウガ,ヨガを始めた方が
シンデクレ,ご自愛ください
シンデホシイ,健やかにいてほしい
シンドイ,ちょっと元気がでない　
シンドイ,ラク
シンママ,シングルマザー
シーイーオー,最高経営責任者
シーエム,広告映像
シースルー,体が透けて見えること
ジェットコースター,男女の距離を近づける乗り物
ジェーエス,女子小学生
ジェーケー,女子高生
ジェーシー,女子中学生
ジェーディー,女子大生
ジカン,この世の神秘
ジケン,驚くべき非日常
ジコ,想定外の出来事
ジシン,人間が生きるのに必要なこと
ジシン,地球のふるえ
ジジイ,ジェントルマン
ジスイ,自分の手による本の電子化
ジゾウ,ライブ会場で微動だにしない客
ジタクケイビイン,自宅マニア
ジタバタ,手足を楽しく動かすさま
ジッケン,理科室の夢
ジトメ,ジッと見つめる目
ジト目,ジッと見つめる目
ジブン,決して逃れられない存在
ジベタリアン,地べたに座ってる人
ジマン,お花畑なお話
ジミ,おしとやか
ジモト,生まれ落ちた神聖なる地
ジャガイモ,南米出身のおいしいやつ
ジャケット,上着
ジャジャ馬,おてんばさん
ジャニオタ,王子様に恋する乙女
ジャニヲタ,王子様に恋する乙女
ジャマ,ここにいるべき
ジャンボ,巨大な
ジャンマケ,ジャンケンで負けること
ジャン負け,ジャンケンで負けること
ジャーナリスト,ニュース解説を扱う記者
ジュウ,心の中では所有は自由
ジュギョウ,人生のからくりを学ぶ場
ジュケン,人生の節目
ジュケンセイ,落ちる滑るが禁句な人
ジュース,みずみずしい果実の飲み物
ジユウ,身も心も解放されていること
ジョイ,白衣の女戦士
ジョウキヲイッスル,とてもユニーク
ジョウコウ,常識的に考えて
ジョウジャク,ナチュラルに生きる人
ジョウフ,愛に生きる女性
ジョシ,女の子
ジョシリョク,地球を救う力
ジョタイジミタ,幸福そうな
ジョブチェンジ,人生の新しいスタート
ジライ,立入禁止
ジリヒン,清貧
ジレンマ,サンドイッチ構造
ジロリアン,ラーメン二郎ファン
ジンセイ,輝かしい時の流れ
ジンマシン,かわいい突起
ジーエッチキュー,帰宅部
ジーエムカレシ,ゲーム上の彼氏
ジーパン,アメリカ生まれのワイルドな履き物
スイジャク,あやふや
スイブン,お水
スイミング,お魚になる
スイーツカッコワライ,お姫さま
スイーツジョシ,夢見がちな女の子
スイーツノウ,お花畑の頭
スイーツ女子,夢見がちな女の子
スイーツ脳,お花畑の頭
スイーツ（笑）,お姫さま
スエオソロシイ,心中穏やかじゃない
スエッコ,一番フレッシュな子
スカしやがって,かっこよくしちゃって
スカウト,才能を発掘
スカサズ,キレのあるテンポで
スカシッペ,サイレント放屁
スカシヤガッテ,かっこよくしちゃって
スカスカ,余裕がある
スカッと,スカッッッッッと
スカット,スカッッッッッと
スカトロ,病気
スガル,決して諦めない
スキ,出逢えてよかった
スキキライ,こだわり
スキッパラ,ロンリネスなお腹
スキヤネン,好意をよせているの
スキンシップ,親密なコミュニケーション
スケコマシ,女性を魅了する方
スケダチ,お力添え
スケット,ピンチヒッター
スケバン,女性のリーダー
スケベ,下心満載
スケボー,スケートボード
スコブル,どう考えても
スゴスギル,スーパークレイジー
スゴスゴ,しょんぼりしながら
スゴミ,秘めたるオーラ
スサマジイ,わたしの予想の１００倍の
スジアイ,私の予定
スジガキ,運命のレール
スジガネイリノ,モーレツな
スジチガイ,わたしの辞書にない
ススリナク,全てをさらけだして泣く
スズメ,ピチチ♪
スズメバチ,ボス
スタミナ,持久力
スタンダード,これで間違いないやつ
スタントマン,頼りになる役者さん
スタンバイ,羽ばたく準備
スタートライン,さあ、はじまりの場所
スッカラカン,there is nothing!!
スッゲー,わたし的にとっても
スッゲー,非常にとてもベリー
スッタモンダ,様々な人生ドラマ
スッチー,空飛ぶ美女
スッテンテン,残ったのは、愛だけ
スットコドッコイ,実は大好きよ
スットボケンナ,知らんぷりしないで
スットンキョウ,とんだお門違い
スットンキョウ,芸術的
スッパイ,お口が梅干しになる
スッパヌク,頂戴する
スッピン,生まれたままのお顔
ステアリング,パッソのステアリング
ステウリ,大盤振る舞い
ステガネ,天下を回るお金
ステキジョシ,最高の女の子
ステキ女子,最高の女の子
ステゼリフ,最後のキメ台詞
ステテコ,夏の夜の制服
ステディー,Myスウィート
ステーキ,素敵なステーキ
ステータス,人間性とは別のものさし
ストイック,がんばり屋さん
ストミュー,夢を歌う人々
ストライキ,やだやだモード
ストライク,ド真中
ストライプ,しましま
ストリッパー,ありのままの踊り子
ストリップショー,浮世離れした演目
ストレス,ファンタジー
スドオリ,颯爽と失礼
スドマリ,お食事抜きプラン
スナワチ,いいこと？つまり、
スネカジリ,家族大好き！
スネル,ツンツンしちゃう
スパイ,水面下で生きる人
スパルタ,海のような愛情
スピーディー,てきぱき
スベカラク,言うまでもないけど
スベッタ,ちょっと失敗しちゃった
スベラナイ,笑顔が生まれる
スボメル,ちっちゃくする
スマイル,女の子の一番かわいい表情
スマヌ,かたじけない…
スマホ,手のひらの宇宙
スマート,とってもステキ
スミマセン,ありがとうございます
スモウ,おすもう
スヤスヤ,(人-ω-)｡○○
スライディング,いちもくさん
スライム,未確認液体
スラリト,美しい
スラング,水面下の言葉
スルー,過保護
スレチガイ,すれ違い、それが恋
スレッカラシ,いろんなことを知りすぎた
スレンダー,美しい肢体
スローフード,ゆるやかに過ごすお食事
スローライフ,ゆるりと過ごす人生
スワッピング,自由な恋愛
スンナリ,運命に沿って
スーツ,働く勝負服
スーパーセントウ,お風呂ワンダーランド
スーパー銭湯,お風呂ワンダーランド
ズイマー,あんまり良くない
ズウズウシイ,空気を読まない強さがある
ズカズカ,前に前に
ズタズタ,キラキラ
ズッコケ,おっちょこちょいが過ぎ
ズッコケタ,足が長くてもつれた
ズバヌケテ,すっごくすっごく
ズバリ,つ・ま・り…
ズボシ,なんで分かったのか不思議
ズボラ,やれば出来る性格
ズラして,気を遣って
ズラカル,お家にかえる
ズラシテ,気を遣って
ズラズラ,本能の赴くままに
ズルい,うらやましい
ズルイ,うらやましい
ズングリ,まるまるっと
ズングリムックリ,安定感のある体型
ズンズン,しゅわしゅわ
セイエキ,タピオカミルクジュース
セイオタ,声優ファン
セイカクガワルイ,シャイ
セイコウ,マカロン
セイシ,♡♡♡
セイシンテキニチチヲダス,女性が意中の男性の前で色気を出す
セイジョウイ,♡♡♡
セイチ,神が舞い降りた地
セイテキ,マシュマロ的
セイビョウ,病気
セキガハラ,１０対１０の合コン
セクハラ,ディスコミュニケーション
セクハラ,禁止事項
セクロス,わくわくクッキング
セチガライ,ちょっぴりけちくさい
セックス,ドキドキアクティビティ
セッショウ,創作活動
センニンケイダンシ,器が大きい男性
セーラーフク,青春の衣装
セーラー服,青春の衣装
ゼイタク,最高
ゼイニク,ぷにぷにく
ゼッショクケイダンシ,ひとりで生きていける殿方
ゼッタイ,世の中に絶対なんてないけど、絶対
ゼッタイリョウイキ,破壊的な効力を持つ神聖な領域
ゼツボウ,希望
ゼツユル,絶対に許さないこともない
ゼロイミ,意味がありすぎる
ゼロ意味,意味がありすぎる
ソイツ,そのお方
ソイネ,一緒の夢を見に行く旅
ソウオン,心地よくない音
ソウカン,お届け
ソウカン,禁止事項
ソウキュウ,次のまばたきの後すぐ
ソウクズレ,ふりだしに戻る
ソウコウゲキ,愛情の詰め込み
ソウサイ,フラットに
ソウサク,世界を豊かに
ソウシキ,別れの時間
ソウシソウアイ,地球を救う程度の愛
ソウシツ,神様が隠蔽
ソウシャ,前にしか進まない人
ソウショク,緑を愛する系
ソウショクケイ,キリンさん
ソウジ,違いが分からない
ソウジュク,背伸び
ソウスカン,愛情のカタマリ
ソウゾウ,夢の世界へ出発
ソウゾウシイ,たいそう賑やか
ソウダチ,アドレナリン放出
ソウダン,密談
ソウチョウ,素晴らしい一日のはじまり
ソウテイ,本に命を吹き込むデザイン
ソウドウ,てんやのわんや
ソウニュウ,イントゥー
ソウハク,守ってあげたい感じ
ソウベツカイ,新たな世界へのハナムケ
ソウホウ,関係ある人みんな
ソウマトウ,ダイジェスト
ソウロウ,テキパキ
ソウロウ,思います
ソエン,夢の中で会う関係
ソカソカ,なるほど、なるほど
ソガイ,バイバイ
ソクシ,バイバイ
ソクジツ,太陽が眠るまでに
ソクセキ,魔法
ソクタツ,時間をお金で買う方法
ソクドク,時間を倍にする読み方
ソクバッキー,警備員
ソクブツテキ,慎重派
ソゲン,そのような
ソコイジ,ホントのキモチ
ソコキミワルイ,ゾッとする
ソコシレナイ,宇宙のような
ソコソコ,気づいた
ソコヂカラ,秘めたるパワー
ソコナシ,限度ってものがない
ソコヌケ,宇宙のように
ソコハカトナク,どこがどうって訳じゃないんだけど
ソコビエ,ブルブル
ソシャク,しっかり自分のものに
ソシラヌカオ,( ﾟ 3ﾟ)～♪
ソソウ,ケアレスミス
ソソウコール,凱旋パレード
ソソクサ,俊敏
ソソッカシイ,ドジっこテヘペロ
ソソノカス,お誘いする
ソソル,お口からお水がでちゃう
ソゾロアルキ,ゆるりとお散歩
ソダイゴミ,過去の遺産
ソダネ,あなたさまの言う通りだわ
ソチャ,イングリッシュブレックファストティー
ソッカ,そうなのですね
ソッキン,セバスチャン
ソックリ,頭の先からつま先まで
ソッケツ,いさぎよく決断
ソッケナイ,サッパリしてる
ソッチノケ,頭の中から追放
ソッチョク,お遊びなし
ソトヅラ,作られた一面
ソトマワリ,お出かけ
ソナタ,あなたさま
ソノウチ,お昼寝から目覚めれば
ソノハズ,運命ではそうなるはず
ソノ場限リ,一期一会
ソバ,パスタ
ソファ,キングサイズベッド
ソブリ,空気感
ソプラノ,音域ハイエスト
ソムリエ,ワインの番人
ソモソモ,一回フラットに考えると
ソユコト,ザッツライト！
ソヨカゼ,そよそよな風
ソヨソヨ,静かに、爽やかに
ソラオソロシイ,胸が不安で苦しい
ソラオボエ,記憶の穴から掘り出し
ソラゴト,ファンタジー
ソラゾラシ,一見、立派
ソラミミ,なにか聞こえた気がした
ソラメ,見間違え
ソリガアワナイ,キモチがすれ違い気味
ソレソウオウ,この心と引き換え
ソワソワ,ドキンドキン
ソンクライ,きっとあなたが思っている感じ
ソンショク,ちょっと低い点
ソンジャ,あなたがそうおっしゃるのなら
ソンジョソコラ,日本各地の
ソンダイ,堂々
ソンダケ,それほどに
ソンデ,そのような感じで
ソンデモッテ,それに加えて
ソンナァ,もう一回、考え直して
ソンナラ,そちらがその気なら
ソーシャル,「みんな言ってる」の、みんな
ソーシャルネットワーク,みんなとおしゃべりする所
ソースガオ,お腹いっぱいのお顔
ソース顔,お腹いっぱいのお顔
ソーッスヨ,実はそうなのですよ
ソーナノ,実はそうなのですよ
ソーナンカナ,物事には二つの側面があるわ
ソーナンダ,あなたを信じるわ
ソーナンデス,ふむふむです
ソープランド,特殊なお風呂
ソーヤッテ,ほら、
ソーユーコト,オトナの事情
ゾウカ,一生美しいお花
ゾウゴン,愛の言葉
ゾウスイ,ママのおじや
ゾウリ,カジュアルな靴
ゾクアク,ブラボー
ゾクゴ,フランクな会話表現
ゾクショウ,みんなにおなじみ
ゾクセ,キラキラした世界
ゾクッポイ,ミーハー
ゾッコン,寝ても覚めてもラブ
タイショウ,立派なかた
タオル,汗の救世主
タカビシャ,気高い
タカヲククル,お見くびりになる
タガが緩む,ゆったりと生きる
タガガユルム,ゆったりと生きる
タガメオンナ,人から貢がれる女性
タガメ女,人から貢がれる女性
タクシー,運び屋
タケノコ,にょきにょき♪
タコ,おタコさん
タゴサク,自然豊かな地域出身者
タソガレ,ロマンチックな時
タダ,お財布要らず
タダシイケメンニカギル,人を選ぶ話
タダデハスマナイ,覚悟しておきましょう
タダナラナイ,尋常ではない
タチウチデキナイ,リスペクトしている
タチバック,♡♡♡♡♡
タツセガナイ,参加する
タナカラボタモチ,空からキャンディー
タナニアゲル,他人が原因だと思う
タニンギョウギ,礼儀正しいふるまい
タヒる,ちょっとご乱心する
タヒル,ちょっとご乱心する
タラコクチビル,セクシーなクチビル
タレこみ,世界に秘密を共有
タレコミ,世界に秘密を共有
タワケ,素晴らしい
タワゴト,美しい夢の言葉
タンカヲキル,褒める
タンシバ,wがひとつしかない笑い
ダァシエリイェス!!,ドア閉まります。
ダイガク,楽園
ダイコンアシ,美脚
ダイコンヤクシャ,名俳優
ダイショウリ,とってもビクトリー
ダイジョウブジャナイ、モンダイダ,大いに問題がある
ダイヘン,なりすまし出席
ダイベン,香り高い人間の制作物
ダキアウ,愛し合う
ダサイ,時代が変わればかっこいい
ダセイ,なんとなく
ダダヲコネル,希望を言ってみる
ダッサイ,一周してカッコイイ
ダテマスク,元気なのにマスク
ダテラ,なのに
ダテル,現役復帰する
ダフヤ,フトドキモノ
ダフ屋,フトドキモノ
ダマレ,少し静かにしてくださる？
ダメ,素晴らしい
ダルい,やる気に満ちあふれている
ダルイ,やる気に満ちあふれている
ダルマ,おじさま
ダレウマ,どなたがうまいこと言えとおっしゃった
ダレダヨ,貴方だよ♡
ダレデモダイスキ,博愛主義者
ダレトク,みんなハッピー
ダンシャリ,捨てることで自分を見つめる
チアガール,元気をつくるガール
チェス,将棋の西洋版
チェッ,うふふ
チェックメイト,次で貴方も終わりよ
チェリーガール,未知の世界が広がる女子
チェリーボーイ,未知の世界が広がる男性
チカチカ,目の前に億千の星が輝く
チカミチ,秘密のルート
チカン,逮捕モノ
チガイホウケン,バリアが効く
チキる,仕切り直す
チキショー,もうっ知らないっ
チキル,仕切り直す
チキン,慎重な性格
チキンレース,どんぐりさん達の戦い
チクった,告白した
チクり,秘密のお手紙出す
チクる,秘密のお手紙書く
チクショウ,ラブリー♡
チクッタ,告白した
チクビ,女体の銀河
チクリ,秘密のお手紙出す
チクル,秘密のお手紙書く
チクルイ,おおきい動物
チグハグ,遊びゴコロあふれる
チコク,夢のなかに長めに滞在
チシオ,明日への情熱
チショウ,他人
チジョク,悪いドキドキ
チジン,知人
チセツ,芸術的
チチウエ,お父様
チチノヒ,お父さんありがとうの日
チチバナレ,大人へ踏出
チチンプイプイ,解放せよ！解放せよ！
チットモ,思ったよりずっと
チップ,心ばかり
チッポケ,大事なのは中身
チノウミ,ワインの海
チバリーヒルズ,千葉のワンダーランド
チビ,伸びしろがある人
チブサ,やさしいふくらみ
チヘド,マーライオン
チマナコ,真っ赤なカラコン
チムニー,chimney
チメイショウ,ネバーギブアップ！
チメイテキ,オーマイゴッドな
チャイドル,天才子役
チャウワ,違います
チャオ,こんにちは！
チャカス,ヒューヒューする
チャキチャキ,キラキラ
チャクウタ,着信時の音楽
チャクショウ,新たな命の誕生
チャクシンキョヒ,ごめんなさい
チャクメロ,着信時のメロディー
チャコールグレー,限りなく黒に近い白
チャッキョ,ごめんなさい
チャット,おしゃべり
チャノミバナシ,ガールズトーク
チャパツ,おしゃれヘア
チャブダイ,ダイニングテーブル
チャラい,愛情が多い
チャライ,愛情が多い
チャラオ,おモテになる方
チャラチャラ,キャピキャピ
チャラリーマン,遊び心を忘れない方
チャランポラン,風が吹くまま
チャラ男,おモテになる方
チャリ,カボチャの馬車
チャンネー,お姉様
チャンバラ,男の決戦
チャンポン,クリームパスタ
チャーシュー,ジビエ
チャーハン,様々な具と共に油で炒めたお米
チヤホヤ,お姫様扱い
チュウキン,お巡りさんから「メッ！」
チュウショク,ランランランチ♪
チュウトハンパ,ここから巻き返せる状態
チュウニビョウ,青春の中に生存
チュウブラリン,無重力
チュウボウ,ジェントルマン
チュウモン,セバスチャンにお願い
チュウリュウカイキュウ,貴族
チュッ,チュッ♡♡♡
チューカ,というよりかはね
チュープリ,お母さんに見せられない写真
チョ、,このまま帰せないわ、
チョイチョイ,たびたび頻繁に
チョイト,ほんのちょっと
チョウアイ,愛のカタマリを投入
チョウケシ,頭からデリート
チョウシコイテン,愛をばらまく
チョウノウリョク,魔法
チョウホンニン,It's me.
チョクチョク,たびたび頻繁に
チョクルス,生存が確認できない
チョコマカ,こまやかに
チョッカンテキニ,ビビビッと
チョットヤソット,生半可では
チョッパヤ,超 very 早い
チョビヒゲ,(・◞◟​・)
チョベリグ,超 very good
チョベリバ,超 very bad
チョベリブ,超 very blue
チョメチョメ,大人のお遊び
チョリース,ご機嫌いかが？
チョロイ,おちゃのこサイサイ
チョロマカス,見事に隠蔽する
チョンボ,虚しいあがり
チラつく,目を閉じると現れる
チラツク,目を閉じると現れる
チラホラ,時おり
チラミ,横目で拝見
チラリズム,ちょっとだけオープン
チラ見,横目で拝見
チンゲ,絹の糸
チンゲ,絹の糸
チンコ,遊園地
チンタラ,ほんわか
チンチクリン,かわい子ちゃん
チンチン,メリーゴーランド
チンピラ,白馬の王子
チンプンカンプン,頭に獅子座流星群
チンポ,♡♡♡
チンマリ,可愛らしく
チン毛,絹の糸
チン毛,絹の糸
チーカマ,開封困難なおつまみ
チーク,ほっぺに咲く薔薇
チーママ,女将
チーマー,貴族たち
ツイてない,運勢を温存してる
ツイッタラー,たくさんつぶやく方
ツイッター,おしゃべり広場
ツイテナイ,運勢を温存してる
ツイノミ,つぶやき飲み会
ツイート,愛のつぶやき
ツイ飲み,つぶやき飲み会
ツカエネ,非常に役立つ
ツカレタ,頑張った
ツキアウ,愛の約束をする
ツキマトウ,金魚のフンになりきる
ツッケンドン,ニコニコ
ツツモタセ,やっちゃいけないこと♡
ツブシガキカナイ,専門家である
ツベイウナ,リクエストが多いのね
ツベコベ,たくさんのリクエスト
ツベル,動画を楽しむ
ツマラナイ,退屈なのは自分のせい
ツマラン,平常心が保たれている
ツマンナイ,平常心が保たれている
ツマンネ,ドキドキするね
ツミ,愛情
ツムジヲマゲル,ユニークな意見を持つ
ツラアテ,わざとないじわる
ツライ,順風満帆ではない
ツラタン,空を見上げたい
ツラニクイ,顔を見るだけでも幸せ
ツラヨゴシ,立派な人
ツリ,巧みな嘘
ツレ,人生を寄り添う方
ツンデレ,メリハリのある愛情
ツーキニスト,運動と通勤を兼ねる人
ツーブロ,真のオシャレ髪型
テアカ,消しかす
テアタリシダイ,思い立ったが
テアタリシダイ,色々考えて
テアレ,家事の勲章
ティーチャー,尊敬すべき師
ティーピーオー,社会を保つ秩序
ティーンエイジャー,未来ある若者たち
テイシセイ,謙虚な気持ち
テイシュカンパク,実は奥さん想い
テイジゲン,二次元
テイタラク,なんたる有様
テイッパイ,精いっぱい
テイノウ,頭脳派
テイヘン,ひっくり返せば頂点
テイヨク,誰も傷つくことなく
テオクレ,まだここからやり直せる
テオチ,ちょっとしたミス
テカゲン,甘噛み
テカサ,By the way
テカテカ,まばゆく発色
テガキ,ハンドメイド
テキトー,熟考の末
テキパキ,魔法のように
テキビシイ,愛情あふれる
テキメン,予想外にばっちり
テギレキン,さよならの挨拶
テクニシャン,その道のプロ
テクノポップ,近未来ビート
テグスネ,たっぷりした準備
テグセ,アイデンティティ
テコイレ,回復への調整
テコキ,♡♡♡
テコズル,やり甲斐を感じる
テコ入れ,回復への調整
テゴマ,親友
テサグリ,霧を晴れやかに
テツコ,鉄道が彼氏の子
テマエミソ,自慢しちゃってもいい？
テマン,♡♡♡
テメェ,マイスウィートハニー
テメエ,マイスウィートダーリン
テレカ,愛を囁いたカード
テレホンカード,絶滅危惧種カード
テロ,攻撃
テンテコマイ,てんてこまいまい
テンネンボケ,独自の世界に生きる
テンパ,ナチュラルウェーブ
テンパる,ドッキドキする
テンパル,ドッキドキする
テンヤワンヤ,あっちに行ったりこっちに行ったり
テープレコーダー,録音再生機器
デアルク,アクティブに生きる
ディスった,悪く言った
ディスる,褒め称える
ディスカッション,実のりある話し合い
ディスッタ,悪く言った
ディスル,褒め称える
ディレクター,船長さん
デオドラント,乙女のエチケット
デカい,大きい
デカイ,大きい
デカデカ,とっても大胆
デカメ,ぱっちりおめめ
デキアイ,特別な愛し方を
デキゴコロ,もう一人の私の気持ち
デキソコナイ,傑作
デキレース,見えざる手によるレース
デクノボウ,落ち着いた人
デクワス,運命的に出会う
デコる,オンリーワンのものにする
デコッパチ,チャーミングおでこ
デコデン,お姫様の電話
デコトラ,キラキラのトラック
デコベン,お姫様のお弁当
デコボコ,メリハリある
デコラー,指先の魔法使い
デコル,オンリーワンのものにする
デコ弁,お姫様のお弁当
デコ電,お姫様の電話
デシ,恋人の次
デシャバリ,主張するお方
